,water,octanol,hexadecane,chloroform,cyclohexane,carbontet,benzene,diethylether,heptane,hexane,toluene,xylene,decane,dichloroethane,octane,chlorobenzene,isooctane,ethylbenzene,bromobenzene,pentane,decalin,nonane,pentanol,diisopropylether,butylacetate,ethylacetate,butanol,iodobenzene,isopropylbenzene,isobutanol,tributylphosphate,perfluorobenzene,carbondisulfide,dibutylether,nitrobenzene,hexanol,tbutylbenzene,undecane,butanone,4methyl2pentanone,bromoform,heptanol,trimethylbenzene,odichlorobenzene,chlorohexane,methylenechloride,decanol,butylbenzene,benzylalcohol,tetrachloroethene,nonanol,aniline,dibromoethane,cyclohexanone,acetophenone,tetralin,secbutanol,hexadecyliodide,pentadecane,anisole,ethanol,dodecane,mesitylene,pyridine,dimethylsulfoxide,nitromethane,ethoxybenzene,isopropanol,triethylamine,propanol,tetrahydrothiophenedioxide,acetonitrile,benzonitrile,nitroethane,mcresol,dimethylformamide,dimethylacetamide,bromoethane,fluorobenzene,methylformamide,aceticacid,tetrahydrofuran
isopropanol,,-4.62,-2.47,-4.28,-2.37,-3.15,-3.48,-4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.82,,,,,,,,,,,,,,
acetonitrile,-3.89,-3.15,-2.37,-4.44,-1.87,,,-3.59,-2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.85,,,,,,,,,,
"1,2-ethanediol",-9.3,-7.44,-2.81,-5.98,,,,-6.2,,,,,,,,,,,,,,,,,-6.27,-6.82,-8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methylpyridine,-4.63,-6.14,-4.68,-6.98,-5.05,,-5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tripropylphosphate,-6.1,-8.65,,-11.11,-7.71,-8.6,-9.34,,-7.5,-7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-xylene,,-5.07,-5.37,-6.23,-5.54,-6.07,,-5.58,-5.52,-5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dipropylamine,-3.66,-6.02,-4.57,,,,-5.09,-4.96,,,-5.24,-5.35,,,,,,,,,,,,,,,,,,-5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-methylaniline,-4.68,-6.94,-6.19,,-6.33,-6.58,-6.64,,,,,,,,,,,,,,-6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-methylaniline,-5.67,-7.57,,,-6.47,-7.23,-7.61,,-6.35,,,,,,-6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-hexane,2.49,-3.01,-3.64,,,,-3.62,,,-4.0,,,,,,,-3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.26,,,,,,,,,,,,,,,,,,,,,,,,
tribromomethane,-1.98,-5.62,-5.16,,,,,,,-4.38,,,,,,,,,,-4.83,,,,,,,,,,,,,,,,,,-4.84,,,-6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclohexane,1.23,-3.46,-4.04,-4.45,-4.43,,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.66,,,,,,,,,,,,,,,,,,,,,,,,
1-octanol,-4.09,-8.13,-6.3,,,,-8.06,-7.25,,,,,,,,,,,,,,,,,-8.17,-8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethyl phenyl ether,-2.22,-5.65,-5.64,-7.16,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.75,,,,,,,,,,,,,,,
piperidine,,-6.27,,-6.37,,,-5.03,-4.82,,,,-5.15,,,,,,,,,,,,,,,,,,-6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-hydroxybenzaldehyde,-9.51,-11.39,,,-6.88,,-9.29,-11.36,,,,,,-10.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methoxyethanol,-6.77,-5.83,,,,,,-5.12,,,,,,,,,,,,,,,,,,,,,,,-6.14,,,,,,,,,,,,,,,,-5.41,,,,-5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-dichlorobenzene",-1.36,-6.01,-6.16,,,,,,-6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.11,,,,,,-6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thioanisole,-2.73,-6.47,,-5.98,-5.66,-5.66,,,,,,,,,,,,,,,-5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trichloroethene,-0.39,-3.75,-4.08,,-4.29,,,,,,,,-3.84,,,,,,,,,,,,,,,,,,,,,,,,,-3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-methylpyridine,-4.94,-6.6,-4.89,-7.5,-5.23,,-6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,6-dimethylpyridine",-4.6,,-5.27,-7.74,-5.51,,-6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
